the_geom,na_mhi,seq_id,ct10_id,geoid,logrecno,acs_year,mhi,mhi_me,whi_mhi,whi_mhi_me,aa_mhi,aa_mhi_me,cartodb_id,na_mhi_me,as_mhi,as_mhi_me,pi_mhi,pi_mhi_me,oth_mhi,oth_mhi_me,mlt_mhi,mlt_mhi_me,nhw_mhi,nhw_mhi_me,lat_mhi,lat_mhi_me
,0.000000,1,25017341901,14000US25017341901,3431,2006-10,53594.000000,13170.000000,49803.000000,13852.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47697.000000,19755.000000,0.000000,0.000000
,0.000000,2,25021409101,14000US25021409101,3645,2006-10,108750.000000,17876.000000,108750.000000,17876.000000,0.000000,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108750.000000,17876.000000,0.000000,0.000000
,0.000000,3,25025980101,14000US25025980101,4032,2006-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,0.000000,4,25001010100,14000US25001010100,2740,2006-10,44646.000000,6202.000000,45821.000000,4707.000000,0.000000,0.000000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45619.000000,4651.000000,0.000000,0.000000
,0.000000,5,25001010206,14000US25001010206,2741,2006-10,66109.000000,11570.000000,66230.000000,11643.000000,0.000000,0.000000,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66230.000000,11643.000000,0.000000,0.000000
,0.000000,6,25001010208,14000US25001010208,2742,2006-10,80425.000000,34351.000000,76250.000000,36443.000000,0.000000,0.000000,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76250.000000,36443.000000,0.000000,0.000000
,0.000000,7,25001010304,14000US25001010304,2743,2006-10,64659.000000,24730.000000,65833.000000,23757.000000,0.000000,0.000000,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63182.000000,24824.000000,0.000000,0.000000
,0.000000,8,25001010306,14000US25001010306,2744,2006-10,54464.000000,23360.000000,49963.000000,24174.000000,0.000000,0.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56477.000000,23180.000000,0.000000,0.000000
,0.000000,9,25001010400,14000US25001010400,2745,2006-10,51614.000000,7201.000000,52025.000000,6513.000000,0.000000,0.000000,9,0.000000,250001.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51709.000000,6953.000000,85227.000000,52309.000000
,0.000000,10,25001010500,14000US25001010500,2746,2006-10,62589.000000,7217.000000,62500.000000,7202.000000,0.000000,0.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62500.000000,7202.000000,0.000000,0.000000
