the_geom,aflf,seq_id,geoid,logrecno,acs_year,pop16,pop16_me,lf,lf_me,clf,clf_me,emp,emp_me,unemp,unemp_me,cartodb_id,aflf_me,nlf,nlf_me,lf_p,lf_mep,clf_p,clf_mep,emp_p,emp_mep,unemp_p,unemp_mep,aflf_p,aflf_mep,nlf_p,nlf_mep,ct10_id
,0.000000,1,14000US25005990000,2961,2007-11,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,1,95.000000,0.000000,95.000000,,,,,,,,,,,,,25005990000
,0.000000,2,14000US25017980000,3604,2007-11,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,2,95.000000,0.000000,95.000000,,,,,,,,,,,,,25017980000
,0.000000,3,14000US25025980700,4034,2007-11,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,0.000000,95.000000,3,95.000000,0.000000,95.000000,,,,,,,,,,,,,25025980700
,45.000000,4,14000US25001010100,2740,2007-11,2943.000000,57.000000,2030.000000,224.000000,1985.000000,222.000000,1726.000000,240.000000,259.000000,121.000000,4,64.000000,913.000000,203.000000,68.980000,7.490000,97.780000,1.780000,86.950000,7.180000,13.050000,5.920000,2.220000,3.140000,31.020000,6.870000,25001010100
,0.000000,5,14000US25001010206,2741,2007-11,2631.000000,248.000000,1686.000000,267.000000,1686.000000,267.000000,1583.000000,283.000000,103.000000,75.000000,5,95.000000,945.000000,272.000000,64.080000,8.150000,100.000000,0.000000,93.890000,7.790000,6.110000,4.340000,0.000000,5.630000,35.920000,9.770000,25001010206
,0.000000,6,14000US25001010208,2742,2007-11,1715.000000,231.000000,1098.000000,206.000000,1098.000000,206.000000,983.000000,189.000000,115.000000,73.000000,6,95.000000,617.000000,135.000000,64.020000,8.360000,100.000000,0.000000,89.530000,3.760000,10.470000,6.350000,0.000000,8.650000,35.980000,6.200000,25001010208
,33.000000,7,14000US25001010304,2743,2007-11,2209.000000,253.000000,1137.000000,236.000000,1104.000000,236.000000,966.000000,217.000000,138.000000,100.000000,7,48.000000,1072.000000,183.000000,51.470000,8.910000,97.100000,4.960000,87.500000,6.040000,12.500000,8.650000,2.900000,4.180000,48.530000,6.140000,25001010304
,0.000000,8,14000US25001010306,2744,2007-11,2398.000000,271.000000,1470.000000,258.000000,1470.000000,258.000000,1338.000000,279.000000,132.000000,101.000000,8,95.000000,928.000000,213.000000,61.300000,8.230000,100.000000,0.000000,91.020000,10.250000,8.980000,6.690000,0.000000,6.460000,38.700000,7.730000,25001010306
,0.000000,9,14000US25001010400,2745,2007-11,2796.000000,260.000000,1601.000000,247.000000,1601.000000,247.000000,1558.000000,241.000000,43.000000,45.000000,9,95.000000,1195.000000,223.000000,57.260000,7.050000,100.000000,0.000000,97.310000,1.090000,2.690000,2.780000,0.000000,5.930000,42.740000,6.910000,25001010400
,0.000000,10,14000US25001010500,2746,2007-11,2618.000000,285.000000,996.000000,216.000000,996.000000,216.000000,923.000000,203.000000,73.000000,47.000000,10,95.000000,1622.000000,223.000000,38.040000,7.140000,100.000000,0.000000,92.670000,3.390000,7.330000,4.440000,0.000000,9.540000,61.960000,5.200000,25001010500
