the_geom,nhna_10p,muni_id,municipal,totpop00,nhwhi_00,nhaa_00,nhna_00,nhas_00,nhpi_00,nhapi_00,nhoth_00,nhmult_00,lat_00,nhwhi_00p,nhaa_00p,nhna_00p,nhas_00p,nhpi_00p,nhapi_00p,nhoth_00p,nhmult_00p,lat_00p,totpop10,nhwhi_10,nhaa_10,nhna_10,nhas_10,nhpi_10,nhapi_10,nhoth_10,nhmult_10,lat_10,nhwhi_10p,nhaa_10p,cartodb_id,nhas_10p,nhpi_10p,nhapi_10p,nhoth_10p,nhmult_10p,lat_10p,totpopdif,nhwhi_dif,nhaa_dif,nhna_dif,nhas_dif,nhpi_dif,nhapi_dif,nhoth_dif,nhmult_dif,lat_dif,nhwh_pdif,nhaa_pdif,nhna_pdif,nhas_pdif,nhpi_pdif,nhapi_pdif,nhoth_pdif,nhmultpdif,lat_pdif,nhwh_pch,nhaa_pch,nhna_pch,nhas_pch,nhpi_pch,nhapi_pch,nhoth_pch,nhmult_pch,lat_pch
,0.26,1,Abington,14605,14163,107,17,67,1,68,36,111,103,96.97,0.73,0.12,0.46,0.01,0.47,0.25,0.76,0.71,15985,14617,313,41,282,2,284,226,194,310,91.44,1.96,1,1.76,0.01,1.78,1.41,1.21,1.94,1380,454,206,24,215,1,216,190,83,207,-5.53,1.23,0.14,1.31,0.01,1.31,1.17,0.45,1.23,3.21,192.52,141.18,320.9,100,317.65,527.78,74.77,200.97
,0.06,2,Acton,20331,17730,139,14,1756,4,1760,59,269,360,87.21,0.68,0.07,8.64,0.02,8.66,0.29,1.32,1.77,21924,16555,232,13,4062,3,4065,159,340,560,75.51,1.06,2,18.53,0.01,18.54,0.73,1.55,2.55,1593,-1175,93,-1,2306,-1,2305,100,71,200,-11.7,0.37,-0.01,9.89,-0.01,9.88,0.44,0.23,0.78,-6.63,66.91,-7.14,131.32,-25,130.97,169.49,26.39,55.56
,0.16,3,Acushnet,10161,9842,42,16,17,2,19,55,107,80,96.86,0.41,0.16,0.17,0.02,0.19,0.54,1.05,0.79,10303,9919,48,16,31,0,31,63,107,119,96.27,0.47,3,0.3,0,0.3,0.61,1.04,1.16,142,77,6,0,14,-2,12,8,0,39,-0.59,0.05,0,0.13,-0.02,0.11,0.07,-0.01,0.37,0.78,14.29,0,82.35,-100,63.16,14.55,0,48.75
,0.09,4,Adams,8809,8588,32,7,19,4,23,10,77,72,97.49,0.36,0.08,0.22,0.05,0.26,0.11,0.87,0.82,8485,8166,51,8,40,2,42,5,115,98,96.24,0.6,4,0.47,0.02,0.5,0.06,1.36,1.16,-324,-422,19,1,21,-2,19,-5,38,26,-1.25,0.24,0.01,0.26,-0.02,0.23,-0.05,0.48,0.34,-4.91,59.38,14.29,110.53,-50,82.61,-50,49.35,36.11
,0.1,5,Agawam,28144,26871,249,40,272,2,274,14,182,514,95.48,0.88,0.14,0.97,0.01,0.97,0.05,0.65,1.83,28438,26287,383,29,496,0,496,25,278,940,92.44,1.35,5,1.74,0,1.74,0.09,0.98,3.31,294,-584,134,-11,224,-2,222,11,96,426,-3.04,0.46,-0.04,0.78,-0.01,0.77,0.04,0.33,1.48,-2.17,53.82,-27.5,82.35,-100,81.02,78.57,52.75,82.88
,0,6,Alford,399,395,3,0,0,0,0,0,1,0,99,0.75,0,0,0,0,0,0.25,0,494,481,3,0,3,0,3,0,5,2,97.37,0.61,6,0.61,0,0.61,0,1.01,0.4,95,86,0,0,3,0,3,0,4,2,-1.63,-0.14,0,0.61,0,0.61,0,0.76,0.4,21.77,0,-1,-1,-1,-1,-1,400,-1
,0.18,7,Amesbury,16450,15889,92,31,93,2,95,25,162,156,96.59,0.56,0.19,0.57,0.01,0.58,0.15,0.98,0.95,16283,15479,108,30,106,6,112,38,206,310,95.06,0.66,7,0.65,0.04,0.69,0.23,1.27,1.9,-167,-410,16,-1,13,4,17,13,44,154,-1.53,0.1,0,0.09,0.02,0.11,0.08,0.28,0.96,-2.58,17.39,-3.23,13.98,200,17.89,52,27.16,98.72
,0.12,8,Amherst,34874,26740,1648,59,3138,32,3170,157,941,2159,76.68,4.73,0.17,9,0.09,9.09,0.45,2.7,6.19,37819,27717,1815,47,4109,11,4120,146,1217,2757,73.29,4.8,8,10.86,0.03,10.89,0.39,3.22,7.29,2945,977,167,-12,971,-21,950,-11,276,598,-3.39,0.07,-0.04,1.87,-0.06,1.8,-0.06,0.52,1.1,3.65,10.13,-20.34,30.94,-65.63,29.97,-7.01,29.33,27.7
,0.05,9,Andover,31247,28326,221,12,1784,7,1791,44,286,567,90.65,0.71,0.04,5.71,0.02,5.73,0.14,0.92,1.81,33201,27698,343,15,3415,8,3423,73,453,1196,83.43,1.03,9,10.29,0.02,10.31,0.22,1.36,3.6,1954,-628,122,3,1631,1,1632,29,167,629,-7.23,0.33,0.01,4.58,0,4.58,0.08,0.45,1.79,-2.22,55.2,25,91.42,14.29,91.12,65.91,58.39,110.93
,0.07,10,Arlington,42389,38058,690,46,2096,4,2100,112,596,787,89.78,1.63,0.11,4.94,0.01,4.95,0.26,1.41,1.86,42844,35804,981,29,3541,7,3548,178,909,1395,83.57,2.29,10,8.26,0.02,8.28,0.42,2.12,3.26,455,-2254,291,-17,1445,3,1448,66,313,608,-6.21,0.66,-0.04,3.32,0.01,3.33,0.15,0.72,1.4,-5.92,42.17,-36.96,68.94,75,68.95,58.93,52.52,77.26
