the_geom,cartodb_id,orderid,name,alias,details
,1,1,join_key,Geographic Identifier,ct10_id
,2,2,title,Title,Poverty by Age and Gender
,3,3,alt_title,Alternate Title,
,4,4,tbl_table,Table Name,b17001_poverty_by_age_gender_acs_ct
,5,5,tbl_num,Table number from source data,b17001
,6,6,geography,Spatial Geography,Census 2010 Tracts
,7,7,descriptn,Description,Poverty status in the past 12 months by gender by age
,8,8,datesavail,Dates Available,5yr Avg 2006-10 through 2010-14
,9,9,coverage,Coverage,Statewide
,10,10,universe,Universe,Population for whom poverty status is determined
,11,11,creator,Creator/Source,US Census: American Community Survey
,12,12,publisher,Publisher,MAPC
,13,13,contributr,Contributors,
,14,14,createdate,CreationDate,
,15,15,moddate,ModificationDate,2015-12
,16,16,ct10_id,Census 2010 Tract ID,
,17,17,geoid,Census Geographic Level ID,
,18,18,logrecno,Census Logical Record Number,
,19,19,acs_year,ACS Years,
,20,20,pop,Population for whom poverty status is determined,
,21,21,pop_me,"Population for whom poverty status is determined; margin of error",
,22,22,povpop,Population in Poverty,
,23,23,povpop_me,"Population in Poverty; margin of error",
,24,24,pov_u6,Population under 6 years in Poverty,
,25,25,pov_u6me,"Population under 6 years in Poverty; margin of error",
,26,26,pov_u18,Population under 18 years in Poverty,
,27,27,pov_u18me,"Population under 18 years in Poverty; margin of error",
,28,28,pov1824,Population 18-24 years in Poverty,
,29,29,pov1824me,"Population 18-24 years in Poverty; margin of error",
,30,30,pov2534,Population 25-34 years in Poverty,
,31,31,pov2534me,"Population 25-34 years in Poverty; margin of error",
,32,32,pov3544,Population 35-44 years in Poverty,
,33,33,pov3544me,"Population 35-44 years in Poverty; margin of error",
,34,34,pov4554,Population 45-54 years in Poverty,
,35,35,pov4554me,"Population 45-54 years in Poverty; margin of error",
,36,36,pov5564,Population 55-64 years in Poverty,
,37,37,pov5564me,"Population 55-64 years in Poverty; margin of error",
,38,38,pov2564,Population 25-64 years in Poverty,
,39,39,pov2564me,"Population 25-64 years in Poverty; margin of error",
,40,40,pov_65o,Population 65 years and over in Poverty,
,41,41,pov_65ome,"Population 65 years and over in Poverty; margin of error",
,42,42,fpv,Females in Poverty,
,43,43,fpv_me,"Females in Poverty; margin of error",
,44,44,fpv_u6,Females under 6 years in Poverty,
,45,45,fpv_u6me,"Females under 6 years in Poverty; margin of error",
,46,46,fpv_u18,Females under 18 years in Poverty,
,47,47,fpv_u18me,"Females under 18 years in Poverty; margin of error",
,48,48,fpv1824,Females 18-24 years in Poverty,
,49,49,fpv1824me,"Females 18-24 years in Poverty; margin of error",
,50,50,fpv2534,Females 25-34 years in Poverty,
,51,51,fpv2534me,"Females 25-34 years in Poverty; margin of error",
,52,52,fpv3544,Females 35-44 years in Poverty,
,53,53,fpv3544me,"Females 35-44 years in Poverty; margin of error",
,54,54,fpv4554,Females 45-54 years in Poverty,
,55,55,fpv4554me,"Females 45-54 years in Poverty; margin of error",
,56,56,fpv5564,Females 55-64 years in Poverty,
,57,57,fpv5564me,"Females 55-64 years in Poverty; margin of error",
,58,58,fpv2564,Females 25-64 years in Poverty,
,59,59,fpv2564me,"Females 25-64 years in Poverty; margin of error",
,60,60,fpv_65o,Females 65 years and over in Poverty,
,61,61,fpv_65ome,"Females 65 years and over in Poverty; margin of error",
