the_geom,cartodb_id,orderid,name,alias,details
,1,1,join_key,Geographic Identifier,muni_id
,2,2,title,Title,Poverty by Age and Gender
,3,3,alt_title,Alternate Title,
,4,4,tbl_table,Table Name,b17001_poverty_by_age_gender_acs_m
,5,5,tbl_num,Table number from source data,b17001
,6,6,geography,Spatial Geography,Municipalities
,7,7,descriptn,Description,Poverty status in the past 12 months by gender by age
,8,8,datesavail,Dates Available,5yr Avg 2005-09 through 2010-14
,9,9,coverage,Coverage,Statewide
,10,10,universe,Universe,Population for whom poverty status is determined
,11,11,creator,Creator/Source,US Census: American Community Survey
,12,12,publisher,Publisher,MAPC
,13,13,contributr,Contributors,
,14,14,createdate,CreationDate,
,15,15,moddate,ModificationDate,2015-12
,16,16,muni_id,Municipal ID,
,17,17,municipal,Municipality,
,18,18,geoid,Census Geographic Level ID,
,19,19,logrecno,Census Logical Record Number,
,20,20,acs_year,ACS Years,
,21,21,pop,Population for whom poverty status is determined,
,22,22,pop_me,"Population for whom poverty status is determined; margin of error",
,23,23,povpop,Population in Poverty,
,24,24,povpop_me,"Population in Poverty; margin of error",
,25,25,pov_u6,Population under 6 years in Poverty,
,26,26,pov_u6me,"Population under 6 years in Poverty; margin of error",
,27,27,pov_u18,Population under 18 years in Poverty,
,28,28,pov_u18me,"Population under 18 years in Poverty; margin of error",
,29,29,pov1824,Population 18-24 years in Poverty,
,30,30,pov1824me,"Population 18-24 years in Poverty; margin of error",
,31,31,pov2534,Population 25-34 years in Poverty,
,32,32,pov2534me,"Population 25-34 years in Poverty; margin of error",
,33,33,pov3544,Population 35-44 years in Poverty,
,34,34,pov3544me,"Population 35-44 years in Poverty; margin of error",
,35,35,pov4554,Population 45-54 years in Poverty,
,36,36,pov4554me,"Population 45-54 years in Poverty; margin of error",
,37,37,pov5564,Population 55-64 years in Poverty,
,38,38,pov5564me,"Population 55-64 years in Poverty; margin of error",
,39,39,pov2564,Population 25-64 years in Poverty,
,40,40,pov2564me,"Population 25-64 years in Poverty; margin of error",
,41,41,pov_65o,Population 65 years and over in Poverty,
,42,42,pov_65ome,"Population 65 years and over in Poverty; margin of error",
,43,43,fpv,Females in Poverty,
,44,44,fpv_me,"Females in Poverty; margin of error",
,45,45,fpv_u6,Females under 6 years in Poverty,
,46,46,fpv_u6me,"Females under 6 years in Poverty; margin of error",
,47,47,fpv_u18,Females under 18 years in Poverty,
,48,48,fpv_u18me,"Females under 18 years in Poverty; margin of error",
,49,49,fpv1824,Females 18-24 years in Poverty,
,50,50,fpv1824me,"Females 18-24 years in Poverty; margin of error",
,51,51,fpv2534,Females 25-34 years in Poverty,
,52,52,fpv2534me,"Females 25-34 years in Poverty; margin of error",
,53,53,fpv3544,Females 35-44 years in Poverty,
,54,54,fpv3544me,"Females 35-44 years in Poverty; margin of error",
,55,55,fpv4554,Females 45-54 years in Poverty,
,56,56,fpv4554me,"Females 45-54 years in Poverty; margin of error",
,57,57,fpv5564,Females 55-64 years in Poverty,
,58,58,fpv5564me,"Females 55-64 years in Poverty; margin of error",
,59,59,fpv2564,Females 25-64 years in Poverty,
,60,60,fpv2564me,"Females 25-64 years in Poverty; margin of error",
,61,61,fpv_65o,Females 65 years and over in Poverty,
,62,62,fpv_65ome,"Females 65 years and over in Poverty; margin of error",
,63,63,mpv,Males in Poverty,
,64,64,mpv_me,"Males in Poverty; margin of error",
,65,65,mpv_u6,Males under 6 years in Poverty,
