the_geom,cartodb_id,orderid,name,alias,details
,1,1,join_key,Geographic Identifier,ct10_id
,2,2,title,Title,Poverty by Race and Age
,3,3,alt_title,Alternate Title,
,4,4,tbl_table,Table Name,b17020_poverty_by_race_age_acs_ct
,5,5,tbl_num,Table number from source data,b17020
,6,6,geography,Spatial Geography,Census 2010 Tracts
,7,7,descriptn,Description,Poverty status in the past 12 months by Age and Race
,8,8,datesavail,Dates Available,5yr Avg 2006-10 through 2010-14
,9,9,coverage,Coverage,Statewide
,10,10,universe,Universe,Population by race for whom poverty status is determined
,11,11,creator,Creator/Source,US Census: American Community Survey
,12,12,publisher,Publisher,MAPC
,13,13,contributr,Contributors,
,14,14,createdate,CreationDate,
,15,15,moddate,ModificationDate,2015-12
,16,16,ct10_id,Census 2010 Tract ID,
,17,17,geoid,Census Geographic Level ID,
,18,18,logrecno,Census Logical Record Number,
,19,19,acs_year,ACS Years,
,20,20,whipop,White alone population ,for whom poverty status is determined
,21,21,whipopme,"White alone population; Margin of Error",
,22,22,whipov,White population in poverty,Income in the past 12 months below poverty level
,23,23,whipovme,"White population in poverty; Margin of Error",
,24,24,whiu18,White population under 18 years in poverty,
,25,25,whiu18me,"White population under 18 years in poverty; Margin of Error",
,26,26,whi1864,White population 18 -  64  years in poverty,
,27,27,whi1864me,"White population 18 -  64  years in poverty; Margin of Error",
,28,28,whi65o,White population 65+ years in poverty,
,29,29,whi65ome,"White population 65+ years in poverty; Margin of Error",
,30,30,whipov_p,% White population in poverty,
,31,31,whipovmep,"% White population in poverty; Margin of Error",
,32,32,whiu18_p,% White population under 18 years in poverty,
,33,33,whiu18mep,"% White population under 18 years in poverty; Margin of Error",
,34,34,whi1864_p,% White population 18 -  64  years in poverty,
,35,35,whi1864mep,"% White population 18 -  64  years in poverty; Margin of Error",
,36,36,whi65o_p,% White population 65+ years in poverty,
,37,37,whi65omep,"% White population 65+ years in poverty; Margin of Error",
,38,38,aapop,Black or African American alone population ,for whom poverty status is determined
,39,39,aapopme,"Black or African American alone population,Margin of Error",
,40,40,aapov,Black population in poverty,Income in the past 12 months below poverty level
,41,41,aapovme,"Black population in poverty; Margin of Error",
,42,42,aau18,Black population under 18 years in poverty,"Combines: Under 5 years; 5 years; 6 to 11 years and 12 to 17 years"
,43,43,aau18me,"Black population under 18 years in poverty; Margin of Error",
,44,44,aa1864,Black population 18 -  64  years in poverty,
,45,45,aa1864me,"Black population 18 -  64  years in poverty; Margin of Error",
,46,46,aa65o,Black population 65+ years in poverty,
,47,47,aa65ome,"Black population 65+ years in poverty; Margin of Error",
,48,48,aapov_p,% Black population in poverty,
,49,49,aapovmep,"% Black population in poverty; Margin of Error",
,50,50,aau18_p,% Black population under 18 years in poverty,
,51,51,aau18mep,"% Black population under 18 years in poverty; Margin of Error",
,52,52,aa1864_p,% Black population 18 -  64  years in poverty,
,53,53,aa1864mep,"% Black population 18 -  64  years in poverty; Margin of Error",
,54,54,aa65o_p,% Black population 65+ years in poverty,
,55,55,aa65omep,"% Black population 65+ years in poverty; Margin of Error",
,56,56,napop,American Indian and Alaska Native alone population,American Indian and Alaska Native alone population for whom poverty status is determined
,57,57,napopme,American Indian and Alaska Native alone population,
,58,58,napov,American Indian  population in poverty,Income in the past 12 months below poverty level
,59,59,napovme,"American Indian  population in poverty; Margin of Error",
,60,60,nau18,American Indian  population under 18 years in poverty,"Combines: Under 5 years; 5 years; 6 to 11 years and 12 to 17 years"
,61,61,nau18me,"American Indian  population under 18 years in poverty; Margin of Error",
,62,62,na1864,American Indian  population 18 -  64  years in poverty,
,63,63,na1864me,"American Indian  population 18 -  64  years in poverty; Margin of Error",
,64,64,na65o,American Indian  population 65+ years in poverty,
,65,65,na65ome,"American Indian  population 65+ years in poverty; Margin of Error",
,66,66,napov_p,% American Indian  population in poverty,
,67,67,napovmep,"% American Indian  population in poverty; Margin of Error",
,68,68,nau18_p,% American Indian  population under 18 years in poverty,
,69,69,nau18mep,"% American Indian  population under 18 years in poverty; Margin of Error",
,70,70,na1864_p,% American Indian  population 18 -  64  years in poverty,
,71,71,na1864mep,"% American Indian  population 18 -  64  years in poverty; Margin of Error",
,72,72,na65o_p,% American Indian  population 65+ years in poverty,
,73,73,na65omep,"% American Indian  population 65+ years in poverty; Margin of Error",
,74,74,aspop,Asian alone population ,Asian alone population for whom poverty status is determined
,75,75,aspopme,"Asian alone population,Margin of Error",
,76,76,aspov,Asian population in poverty,Income in the past 12 months below poverty level
,77,77,aspovme,"Asian population in poverty; Margin of Error",
,78,78,asu18,Asian population under 18 years in poverty,"Combines: Under 5 years; 5 years; 6 to 11 years and 12 to 17 years"
,79,79,asu18me,"Asian population under 18 years in poverty; Margin of Error",
,80,80,as1864,Asian population 18 -  64  years in poverty,
,81,81,as1864me,"Asian population 18 -  64  years in poverty; Margin of Error",
,82,82,as65o,Asian population 65+ years in poverty,
,83,83,as65ome,"Asian population 65+ years in poverty; Margin of Error",
,84,84,aspov_p,% Asian population in poverty,
