the_geom,cartodb_id,orderid,name,alias,details
,1,1,join_key,Geographic Identifier,ct10_id
,2,2,title,Title,Employment Status by Race and Age
,3,3,alt_title,Alternate Title,
,4,4,tbl_table,Table Name,c23002_employment_by_race_age_acs_ct
,5,5,tbl_num,Table number from source data,b23002(a-i)races
,6,6,geography,Spatial Geography,Census 2010 Tracts
,7,7,descriptn,Description,Employment Status by Race and Age for the Population 16 years and over 
,8,8,datesavail,Dates Available,5yr Avg 2006-10 through 2010-14
,9,9,coverage,Coverage,Statewide
,10,10,universe,Universe,Population 16 years and over by race
,11,11,creator,Creator/Source,US Census: American Community Survey
,12,12,publisher,Publisher,MAPC
,13,13,contributr,Contributors,
,14,14,createdate,CreationDate,
,15,15,moddate,ModificationDate,2015-12
,16,16,ct10_id,Census 2010 Tract ID,
,17,17,geoid,Census Geographic Level ID,
,18,18,logrecno,Census Logical Record Number,
,19,19,acs_year,ACS Years,
,20,20,whi16,White population 16 years and over,
,21,21,whi16_me,"White population 16 years and over; Margin of Error",
,22,22,whilf,White Labor Force,
,23,23,whilfme,"White Labor Force; Margin of Error",
,24,24,whiclf,White Civilian Labor Force,
,25,25,whiclfme,"White Civilian Labor Force; Margin of Error",
,26,26,whiemp,White Employed Population,
,27,27,whiempme,"White Employed Population; Margin of Error",
,28,28,whiue,White Unemployed Population,
,29,29,whiueme,"White Unemployed Population; Margin of Error",
,30,30,whiaf,White Armed Forces Population,
,31,31,whiafme,"White Armed Forces Population; Margin of Error",
,32,32,whinlf,White Population Not in the Labor Force,
,33,33,whinlfme,"White Population Not in the Labor Force; Margin of Error",
,34,34,whi1664,White Population 16-64 Years,
,35,35,whi1664me,"White Population 16-64 Years; Margin of Error",
,36,36,whi64lf,White 16-64 Years in Labor Force,
,37,37,whi64lfme,"White 16-64 Years in Labor Force; Margin of Error",
,38,38,whi64clf,White 16-64 Years Civilian Labor Force,
,39,39,whi64clfm,"White 16-64 Years Civilian Labor Force; Margin of Error",
,40,40,whi64e,White Employed Population 16-64 Years,
,41,41,whi64e_me,"White Employed Population 16-64 Years; Margin of Error",
,42,42,whi64ue,White Unemployed Population 16-64 Years,
,43,43,whi64ueme,"White Unemployed Population 16-64 Years; Margin of Error",
,44,44,whi64af,White Armed Forces Population 16-64 Years,
,45,45,whi64afme,"White Armed Forces Population 16-64 Years; Margin of Error",
,46,46,whi64nlf,White Population 16-64 Years Not in the Labor Force,
,47,47,whi64nlfm,"White Population 16-64 Years Not in the Labor Force; Margin of Error",
,48,48,whi65o,White Population 65+ Years,
,49,49,whi65ome,"White Population 65+ Years; Margin of Error",
,50,50,whi65lf,White 65+ Years in Labor Force,
,51,51,whi65lfme,"White 65+ Years in Labor Force; Margin of Error",
,52,52,whi65e,White Employed Population 65+ Years,
,53,53,whi65e_me,"White Employed Population 65+ Years; Margin of Error",
,54,54,whi65ue,White Unemployed Population 65+ Years,
,55,55,whi65ue_me,"White Unemployed Population 65+ Years; Margin of Error",
,56,56,whi65nlf,White Population 65+ Years Not in the Labor Force,
,57,57,whi65nlfm,"White Population 65+ Years Not in the Labor Force; Margin of Error",
,58,58,whilf_p,% White Labor Force,
,59,59,whilfmep,"% White Labor Force; Margin of Error",
,60,60,whiclf_p,% White Civilian Labor Force,
,61,61,whiclfmep,"% White Civilian Labor Force; Margin of Error",
,62,62,whiemp_p,% White Employed Population,
,63,63,whiempmep,"% White Employed Population; Margin of Error",
,64,64,whiue_p,% White Unemployed Population,
,65,65,whiuemep,"% White Unemployed Population; Margin of Error",
,66,66,whiaf_p,% White Armed Forces Population,
,67,67,whiafmep,"% White Armed Forces Population; Margin of Error",
,68,68,whinlf_p,% White Population Not in the Labor Force,
,69,69,whinlfmep,"% White Population Not in the Labor Force; Margin of Error",
,70,70,whi64_p,% White Population 16-64 Years,
,71,71,whi64mep,"% White Population 16-64 Years; Margin of Error",
,72,72,whi64lf_p,% White 16-64 Years in Labor Force,
,73,73,whi64lfmep,"% White 16-64 Years in Labor Force; Margin of Error",
,74,74,whi64clf_p,% White 16-64 Years Civilian Labor Force,
,75,75,whi64clfmp,"% White 16-64 Years Civilian Labor Force; Margin of Error",
,76,76,whi1664_p,% White Employed Population 16-64 Years,
,77,77,whi1664mep,"% White Employed Population 16-64 Years; Margin of Error",
,78,78,whi64ue_p,% White Unemployed Population 16-64 Years,
,79,79,whi64uemep,"% White Unemployed Population 16-64 Years; Margin of Error",
,80,80,whi64af_p,% White Armed Forces Population 16-64 Years,
,81,81,whi64afmep,"% White Armed Forces Population 16-64 Years; Margin of Error",
,82,82,whi64nlf_p,% White Population 16-64 Years Not in the Labor Force,
,83,83,whi64nlfmp,"% White Population 16-64 Years Not in the Labor Force; Margin of Error",
,84,84,whi65_p,% White Population 65+ Years,
,85,85,whi65mep,"% White Population 65+ Years; Margin of Error",
,86,86,whi65lf_p,% White 65+ Years in Labor Force,
,171,171,nalfme,"American Indian Labor Force; Margin of Error",
,87,87,whi65lfmep,"% White 65+ Years in Labor Force; Margin of Error",
,88,88,whi65e_p,% White Employed Population 65+ Years,
,89,89,whi65e_mep,"% White Employed Population 65+ Years; Margin of Error",
,90,90,whi65ue_p,% White Unemployed Population 65+ Years,
,91,91,whi65uemep,"% White Unemployed Population 65+ Years; Margin of Error",
,92,92,whi65nlf_p,% White Population 65+ Years Not in the Labor Force,
,93,93,whi65nlfmp,"% White Population 65+ Years Not in the Labor Force; Margin of Error",
,94,94,aa16,Black population 16 years and over,
,95,95,aa16_me,"Black population 16 years and over; Margin of Error",
,96,96,aalf,Black Labor Force,
,97,97,aalfme,"Black Labor Force; Margin of Error",
,98,98,aaclf,Black Civilian Labor Force,
,99,99,aaclfme,"Black Civilian Labor Force; Margin of Error",
,100,100,aaemp,Black Employed Population,
,101,101,aaempme,"Black Employed Population; Margin of Error",
,102,102,aaue,Black Unemployed Population,
,103,103,aaueme,"Black Unemployed Population; Margin of Error",
,104,104,aaaf,Black Armed Forces Population,
,105,105,aaafme,"Black Armed Forces Population; Margin of Error",
,106,106,aanlf,Black Population Not in the Labor Force,
,107,107,aanlfme,"Black Population Not in the Labor Force; Margin of Error",
,108,108,aa1664,Black Population 16-64 Years,
,109,109,aa1664me,"Black Population 16-64 Years; Margin of Error",
,110,110,aa64lf,Black 16-64 Years in Labor Force,
,111,111,aa64lfme,"Black 16-64 Years in Labor Force; Margin of Error",
,112,112,aa64clf,Black 16-64 Years Civilian Labor Force,
,113,113,aa64clfm,"Black 16-64 Years Civilian Labor Force; Margin of Error",
,114,114,aa64e,Black Employed Population 16-64 Years,
,115,115,aa64e_me,"Black Employed Population 16-64 Years; Margin of Error",
,116,116,aa64ue,Black Unemployed Population 16-64 Years,
,117,117,aa64ueme,"Black Unemployed Population 16-64 Years; Margin of Error",
,118,118,aa64af,Black Armed Forces Population 16-64 Years,
,119,119,aa64afme,"Black Armed Forces Population 16-64 Years; Margin of Error",
,120,120,aa64nlf,Black Population 16-64 Years Not in the Labor Force,
,121,121,aa64nlfm,"Black Population 16-64 Years Not in the Labor Force; Margin of Error",
,122,122,aa65o,Black Population 65+ Years,
,123,123,aa65ome,"Black Population 65+ Years; Margin of Error",
,124,124,aa65lf,Black 65+ Years in Labor Force,
,125,125,aa65lfme,"Black 65+ Years in Labor Force; Margin of Error",
,126,126,aa65e,Black Employed Population 65+ Years,
,127,127,aa65e_me,"Black Employed Population 65+ Years; Margin of Error",
,128,128,aa65ue,Black Unemployed Population 65+ Years,
,129,129,aa65ue_me,"Black Unemployed Population 65+ Years; Margin of Error",
,130,130,aa65nlf,Black Population 65+ Years Not in the Labor Force,
,131,131,aa65nlfm,"Black Population 65+ Years Not in the Labor Force; Margin of Error",
,132,132,aalf_p,% Black Labor Force,
,133,133,aalfmep,"% Black Labor Force; Margin of Error",
,134,134,aaclf_p,% Black Civilian Labor Force,
,135,135,aaclfmep,"% Black Civilian Labor Force; Margin of Error",
,136,136,aaemp_p,% Black Employed Population,
,137,137,aaempmep,"% Black Employed Population; Margin of Error",
,138,138,aaue_p,% Black Unemployed Population,
,139,139,aauemep,"% Black Unemployed Population; Margin of Error",
,140,140,aaaf_p,% Black Armed Forces Population,
,141,141,aaafmep,"% Black Armed Forces Population; Margin of Error",
,142,142,aanlf_p,% Black Population Not in the Labor Force,
,143,143,aanlfmep,"% Black Population Not in the Labor Force; Margin of Error",
,144,144,aa64_p,% Black Population 16-64 Years,
,145,145,aa64mep,"% Black Population 16-64 Years; Margin of Error",
,146,146,aa64lf_p,% Black 16-64 Years in Labor Force,
,147,147,aa64lfmep,"% Black 16-64 Years in Labor Force; Margin of Error",
,148,148,aa64clf_p,% Black 16-64 Years Civilian Labor Force,
,149,149,aa64clfmp,"% Black 16-64 Years Civilian Labor Force; Margin of Error",
,150,150,aa1664_p,% Black Employed Population 16-64 Years,
,151,151,aa1664mep,"% Black Employed Population 16-64 Years; Margin of Error",
,152,152,aa64ue_p,% Black Unemployed Population 16-64 Years,
,153,153,aa64uemep,"% Black Unemployed Population 16-64 Years; Margin of Error",
,154,154,aa64af_p,% Black Armed Forces Population 16-64 Years,
,155,155,aa64afmep,"% Black Armed Forces Population 16-64 Years; Margin of Error",
,156,156,aa64nlf_p,% Black Population 16-64 Years Not in the Labor Force,
,157,157,aa64nlfmp,"% Black Population 16-64 Years Not in the Labor Force; Margin of Error",
,158,158,aa65_p,% Black Population 65+ Years,
,159,159,aa65mep,"% Black Population 65+ Years; Margin of Error",
,160,160,aa65lf_p,% Black 65+ Years in Labor Force,
