the_geom,cartodb_id,orderid,alias,details,name
,1,1,Geographic Identifier,sa_id,join_key
,2,2,Title,Employment Status by Race and Age,title
,3,3,Alternate Title,,alt_title
,4,4,Table Name,c23002_employment_by_race_age_acs_msa,tbl_table
,5,5,Table number from source data,b23002(a-i)races,tbl_num
,6,6,Spatial Geography,US and Metropolitan Statisitical Areas,geography
,7,7,Description,Employment Status by Race and Age for the Population 16 years and over ,descriptn
,8,8,Dates Available,5yr Avg 2006-10 through 2009-13,datesavail
,9,9,Coverage,Nationwide,coverage
,10,10,Universe,Population 16 years and over by race,universe
,11,11,Creator/Source,US Census: American Community Survey,creator
,12,12,Publisher,MAPC,publisher
,13,13,Contributors,,contributr
,14,14,CreationDate,,createdate
,15,15,ModificationDate,2015-03,moddate
,16,16,Metropolitan Statisitical Area ID,,msa_id
,17,17,Metropolitan Statisitical Area,,msa_name
,18,18,Census Geographic Level ID,,geoid
,19,19,Census Logical Record Number,,logrecno
,20,20,ACS Years,,acs_year
,21,21,White population 16 years and over,,whi16
,22,22,"White population 16 years and over; Margin of Error",,whi16_me
,23,23,White Labor Force,,whilf
,24,24,"White Labor Force; Margin of Error",,whilfme
,25,25,White Civilian Labor Force,,whiclf
,26,26,"White Civilian Labor Force; Margin of Error",,whiclfme
,27,27,White Employed Population,,whiemp
,28,28,"White Employed Population; Margin of Error",,whiempme
,29,29,White Unemployed Population,,whiue
,30,30,"White Unemployed Population; Margin of Error",,whiueme
,31,31,White Armed Forces Population,,whiaf
,32,32,"White Armed Forces Population; Margin of Error",,whiafme
,33,33,White Population Not in the Labor Force,,whinlf
,34,34,"White Population Not in the Labor Force; Margin of Error",,whinlfme
,35,35,White Population 16-64 Years,,whi1664
,36,36,"White Population 16-64 Years; Margin of Error",,whi1664me
,37,37,White 16-64 Years in Labor Force,,whi64lf
,38,38,"White 16-64 Years in Labor Force; Margin of Error",,whi64lfme
,39,39,White 16-64 Years Civilian Labor Force,,whi64clf
,40,40,"White 16-64 Years Civilian Labor Force; Margin of Error",,whi64clfm
,41,41,White Employed Population 16-64 Years,,whi64e
,42,42,"White Employed Population 16-64 Years; Margin of Error",,whi64e_me
,43,43,White Unemployed Population 16-64 Years,,whi64ue
,44,44,"White Unemployed Population 16-64 Years; Margin of Error",,whi64ueme
,45,45,White Armed Forces Population 16-64 Years,,whi64af
,46,46,"White Armed Forces Population 16-64 Years; Margin of Error",,whi64afme
,47,47,White Population 16-64 Years Not in the Labor Force,,whi64nlf
,48,48,"White Population 16-64 Years Not in the Labor Force; Margin of Error",,whi64nlfm
,49,49,White Population 65+ Years,,whi65o
,50,50,"White Population 65+ Years; Margin of Error",,whi65ome
,51,51,White 65+ Years in Labor Force,,whi65lf
,52,52,"White 65+ Years in Labor Force; Margin of Error",,whi65lfme
,53,53,White Employed Population 65+ Years,,whi65e
,54,54,"White Employed Population 65+ Years; Margin of Error",,whi65e_me
,55,55,White Unemployed Population 65+ Years,,whi65ue
