the_geom,cartodb_id,inc_dollar,asian,black,latino,white
,1,640,39989,37754,39114,58570
,2,1358,40912,38359,39598,59065
,3,2148,41779,38920,40050,59530
,4,3005,42592,39442,40477,59967
,5,3921,43355,39926,40879,60378
,6,4893,44072,40378,41258,60766
,7,5914,44747,40799,41618,61133
,8,6979,45382,41192,41958,61479
,9,8084,45980,41561,42282,61809
,10,9223,46545,41906,42590,62122
,11,10392,47080,42232,42884,62418
,12,11586,47586,42538,43165,62700
,13,12802,48067,42827,43434,62970
,14,14036,48524,43100,43693,63229
,15,15282,48959,43359,43941,63476
,16,16539,49375,43605,44180,63712
,17,17803,49773,43839,44412,63940
,18,19070,50154,44062,44636,64159
,19,20338,50521,44275,44853,64371
,20,21603,50873,44480,45064,64576
,21,22864,51214,44676,45269,64773
,22,24117,51542,44864,45470,64963
,23,25361,51860,45046,45666,65149
,24,26594,52169,45221,45858,65329
,25,27814,52468,45390,46046,65505
,26,29019,52760,45554,46231,65678
,27,30208,53044,45713,46413,65846
,28,31380,53321,45868,46593,66010
,29,32533,53592,46018,46771,66170
,30,33668,53858,46165,46946,66327
,31,34783,54118,46308,47120,66482
,32,35879,54373,46448,47293,66634
,33,36954,54624,46585,47465,66784
,34,38010,54871,46719,47635,66932
,35,39046,55114,46850,47805,67079
,36,40062,55354,46980,47975,67224
,37,41060,55591,47107,48144,67367
,38,42040,55825,47232,48314,67508
,39,43003,56056,47355,48483,67648
,40,43951,56285,47477,48652,67787
,41,44884,56512,47597,48822,67925
,42,45806,56737,47716,48993,68062
,43,46716,56960,47834,49164,68200
,44,47618,57181,47950,49336,68336
,45,48514,57402,48066,49509,68473
,46,49406,57621,48181,49684,68610
,47,50296,57840,48295,49859,68747
,48,51189,58057,48409,50036,68883
,49,52086,58274,48522,50215,69019
,50,52990,58491,48635,50395,69156
,51,53907,58709,48748,50577,69294
,52,54838,58925,48861,50762,69432
,53,55788,59142,48974,50948,69573
,54,56761,59360,49087,51137,69714
,55,57761,59580,49201,51329,69858
,56,58793,59801,49316,51523,70003
,57,59861,60023,49432,51720,70151
,58,60970,60246,49548,51921,70302
,59,62125,60473,49666,52125,70454
,60,63332,60703,49785,52333,70609
,61,64596,60936,49907,52544,70767
,62,65922,61172,50030,52761,70930
,63,67317,61412,50156,52982,71098
,64,68786,61658,50285,53207,71270
,65,70335,61910,50416,53438,71449
,66,71972,62168,50551,53675,71634
,67,73703,62432,50690,53919,71825
,68,75534,62705,50832,54169,72024
,69,77473,62987,50980,54426,72229
,70,79527,63280,51133,54692,72444
,71,81704,63582,51291,54966,72669
,72,84011,63897,51455,55250,72905
,73,86455,64227,51626,55544,73154
,74,89046,64575,51805,55850,73417
,75,91791,64937,51993,56168,73696
,76,94699,65320,52189,56500,73988
,77,97778,65726,52396,56848,74299
,78,101037,66157,52613,57211,74631
,79,104486,66615,52844,57595,74988
,80,108133,67108,53089,57998,75371
,81,111989,67636,53348,58425,75781
,82,116062,68204,53625,58879,76222
,83,120363,68823,53921,59360,76701
,84,124901,69492,54238,59877,77224
,85,129688,70227,54579,60430,77791
,86,134733,71030,54947,61027,78410
,87,140047,71921,55344,61672,79094
,88,145641,72904,55776,62376,79846
,89,151526,74004,56246,63145,80676
,90,157713,75237,56762,63991,81606
,91,164214,76624,57326,64930,82636
,92,171041,78200,57950,65977,83800
,93,178204,79999,58641,67153,85104
,94,185718,82062,59410,68484,86592
,95,193593,84439,60273,70007,88276
