the_geom,cartodb_id,ct10_id,muni_id,muni_upper,municipal
,1,25023502200,1,ABINGTON,Abington
,2,25023520100,1,ABINGTON,Abington
,3,25023520201,1,ABINGTON,Abington
,4,25023520202,1,ABINGTON,Abington
,5,25017363102,2,ACTON,Acton
,6,25017363103,2,ACTON,Acton
,7,25017363104,2,ACTON,Acton
,8,25017363201,2,ACTON,Acton
,9,25017363202,2,ACTON,Acton
,10,25005654100,3,ACUSHNET,Acushnet
,11,25005654200,3,ACUSHNET,Acushnet
,12,25003922100,4,ADAMS,Adams
,13,25003922200,4,ADAMS,Adams
,14,25003922300,4,ADAMS,Adams
,15,25013813204,5,AGAWAM,Agawam
,16,25013813205,5,AGAWAM,Agawam
,17,25013813206,5,AGAWAM,Agawam
,18,25013813207,5,AGAWAM,Agawam
,19,25013813208,5,AGAWAM,Agawam
,20,25013813209,5,AGAWAM,Agawam
,21,25003934300,6,ALFORD,Alford
,22,25009266100,7,AMESBURY,Amesbury
,23,25009266200,7,AMESBURY,Amesbury
,24,25009266300,7,AMESBURY,Amesbury
,25,25009266400,7,AMESBURY,Amesbury
,26,25015820300,8,AMHERST,Amherst
,27,25015820400,8,AMHERST,Amherst
,28,25015820500,8,AMHERST,Amherst
,29,25015820600,8,AMHERST,Amherst
,30,25015820700,8,AMHERST,Amherst
,31,25015820801,8,AMHERST,Amherst
,32,25015820802,8,AMHERST,Amherst
,33,25009254100,9,ANDOVER,Andover
,34,25009254200,9,ANDOVER,Andover
,35,25009254301,9,ANDOVER,Andover
,36,25009254302,9,ANDOVER,Andover
,37,25009254401,9,ANDOVER,Andover
,38,25009254402,9,ANDOVER,Andover
,39,25009254403,9,ANDOVER,Andover
,40,25007200400,104,AQUINNAH,Aquinnah
,41,25017356100,10,ARLINGTON,Arlington
,42,25017356300,10,ARLINGTON,Arlington
,43,25017356400,10,ARLINGTON,Arlington
,44,25017356500,10,ARLINGTON,Arlington
,45,25017356601,10,ARLINGTON,Arlington
